source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3114429671376528512,107.96188878852496,1.201484981389263,0.2633522974890989,0.2943526053316835,1.6235135394178661,1.1605504,19.625038,1.3469849,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114757252825728256,106.32802333689868,1.8679168474527221,0.0029820942940821486,0.29569723125997477,-0.705820554032158,0.9745974,18.614483,1.015707,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4936.2026,4.8641,-3.4219,1924.4474,0.009,0.0072,0.004
3114429671376799104,107.97073132067948,1.195660933687817,0.5694661347193534,-0.03240162479206199,1.6508850700709612,0.9937971,16.314072,0.9579277,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3115119683639645824,107.94391509863564,2.1720394659139806,0.5872759826250943,-0.5903560150703634,-0.31822153010383114,1.045499,19.352278,1.0817623,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114757252825733632,106.318283448153,1.8731209095681773,-0.7742538752698168,-0.010936961878583975,-1.1219197312198697,0.99696916,20.2092,1.613596,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429701438552320,107.93287954699719,1.1959454896944437,0.7325274978409524,0.7918554301984998,-1.1819112778340735,0.9840325,19.027758,1.0060349,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847388536482432,105.70226556820108,3.055219410106845,0.945146539087735,-0.8537225929714396,-2.395996213254567,1.0064597,20.290628,1.712965,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847388536487808,105.69267799875915,3.060590820557759,0.2752374519834757,-1.829394582417639,-4.901156930083216,1.0246729,19.128101,1.6345234,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847388536489088,105.69778758174616,3.0554438791269174,-1.161637960702312,-1.197689795845536,0.15707465357994474,0.95802414,20.39846,0.95560646,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847388536489600,105.69215790725207,3.060092718559771,0.5760020269565662,-2.1532901733289824,-1.4780310226500042,0.9744359,20.049143,1.4606972,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847388536490752,105.69313274768396,3.0583583764706916,0.8342118907783379,4.390483355524622,-2.165433947636835,1.1409312,20.075766,1.6024284,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847388540846592,105.69925714322898,3.0632471535765826,0.6308104031325106,-3.7297290660459184,-5.220412466857852,0.98071194,16.37854,1.0282259,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5247.381,4.7203,-1.2637,923.5837,0.2255,0.1839,0.1
3115847388540849792,105.69433790636465,3.06083909118202,0.7447202817340443,-0.4027547515099681,-3.0465722737994763,0.9828844,13.087506,0.48324966,,"VARIABLE",0,true,true,false,true,false,true,true,8547.704,4.3064,0.1068,1194.9485,0.7451,0.6818,0.3632
3115490111683268224,105.27982230737959,2.043409945918965,0.13185814170657834,0.04243903039756409,0.46572605380731874,0.98229903,16.861908,1.5718842,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
3115847388540850176,105.70180489297712,3.053383281449021,0.2605019071398773,-1.2387204275069659,0.18191395645642602,0.971303,16.74696,0.8214607,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5626.396,4.7256,-1.6433,1420.8159,0.0255,0.0214,0.0117
3115490111683268608,105.26707114073464,2.04423074750084,0.6992549694223561,0.21682797864328027,-1.102302543197282,1.1192757,19.266487,1.4723148,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847388542423552,105.70842809980552,3.0608496501600935,-0.6625334744818697,-7.341413213406612,1.2195457328217911,4.409077,17.832878,1.7705956,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3115490111683271552,105.27166287296603,2.045961327584859,1.9889232277456823,-1.0762582278801602,-6.109746056346734,1.0466452,19.875658,2.431654,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114757252825735424,106.33255917376528,1.8742764512270782,0.43158579089293453,-0.9747472475744298,-0.040810444330156896,1.0123067,18.252258,1.0785465,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4732.1587,4.9479,-2.2409,1249.6322,0.0038,0.003,0.0016
3115119683642970752,107.95767079148833,2.171621769342757,0.23371562960379677,-0.5839402075122326,0.09046806758434914,1.0157636,17.106829,0.7244873,,"VARIABLE",0,true,false,false,true,false,true,true,5929.803,4.703,-1.4,2013.9637,0.0127,0.0108,0.0059
3114429018538756608,108.0737195783027,1.1875612402586868,0.35316454938717295,-3.8803068097217954,-1.593936555948428,1.1472926,20.478453,2.1452427,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429018541465216,108.07449276144298,1.2002973036649045,0.4076639522850901,-1.373608911629,-0.6004108130527491,1.1372344,17.031832,1.058384,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4942.711,4.8333,-1.8998,955.3398,0.0162,0.013,0.0071
3114429018541467392,108.07989821930681,1.1912582658460626,0.36478574972059763,-1.0638872018471313,-2.0809657098348846,0.88837093,16.606634,0.9414425,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5322.439,4.701,-1.0903,1175.0986,0.0626,0.0515,0.0279
3114429018541468928,108.07598472271604,1.1908705101471846,0.18137510732556095,-1.5894790914825419,-0.17114524112155238,1.0856562,17.084215,0.8186836,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5566.3364,4.714,-1.7963,1621.4373,0.0058,0.0049,0.0027
3114429018541469312,108.0665682064438,1.1980090428148558,0.5823094932039247,-2.128632685279373,-1.4306324023793031,1.1295031,16.807968,1.0909214,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4853.2324,4.6906,-1.0859,1013.8102,0.0072,0.0057,0.0031
3114429018541471616,108.07275144303036,1.185339433501791,0.2389871001531674,0.053523670837389924,-1.3818368351659147,1.0105689,15.805695,0.8824215,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5522.2153,4.3841,-0.7767,1471.2047,0.0846,0.0704,0.0382
3114429018542383232,108.0777019619289,1.1911964946417397,,,,,20.366713,0.5663872,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429048603572096,108.08487734329456,1.2055855438449963,-1.182493156189111,-8.970976555491823,5.446475138343578,0.98277855,19.923521,2.3704891,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429048604738304,108.07781324007045,1.2011644627397278,3.077681837784081,-2.7781822111408476,-4.01185277172974,1.098205,20.479918,2.1188412,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429052898471936,108.09027867071899,1.2026312222323101,,,,,20.77503,1.3364296,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429052899131392,108.07698968509719,1.2067251414005957,,,,,20.602385,1.8019428,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3114429052901197568,108.08617632848414,1.2075615507520576,0.27280083609959827,-1.0706390522733258,2.2522462790626574,0.9169068,15.514614,0.9783697,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5395.5547,4.2236,-1.0628,1484.5363,0.2239,0.1844,0.1003
3114429052901199616,108.08764563726331,1.200189344019339,0.6483603530524094,-2.1928980133359754,-0.5716429288182978,1.0501759,14.572144,0.727067,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6559.9316,4.2437,-0.2903,1435.1744,0.3496,0.3026,0.1637
3114429052901506048,108.07977955655967,1.2063370494757673,,,,,16.016895,0.84931564,,"NOT_AVAILABLE",0,true,false,false,false,false,false,false,,,,,,,
3114429082963212288,108.04102027652715,1.1850447885258395,0.34189331162160924,2.6440625126485826,-1.3796377194057448,0.9617197,18.548717,1.4955349,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4105.354,5.2032,-2.2357,445.2221,0.0037,0.0027,0.0015
3115847418602464512,105.71064424882117,3.0648271168483303,0.19435774409852538,-1.6811167492200052,0.17741015243729907,0.9714545,18.890074,1.2013855,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4596.2974,4.8882,-1.5506,1728.9777,0.0076,0.006,0.0032
3115847418602473984,105.70779051697525,3.0695013556459343,2.3012383903699916,-2.5793385177320256,1.9894552680878657,1.5840048,18.83861,1.1536121,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847418602474880,105.7127725044608,3.0705889004742914,0.4604137278553702,-0.5646257474125507,0.5570521534824239,1.1083175,19.942505,1.7598934,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847418607936768,105.70740597943295,3.0759942071208335,0.9457628564770805,-2.629906644281344,0.9408242910603789,1.1189116,19.40844,1.5565758,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847422896166656,105.71947265935493,3.068085320129184,,,,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
3115847422896184192,105.70813373126468,3.0700087335703294,0.3739723169112226,-0.19675725936909566,-2.0987270442111314,1.1022978,19.142738,0.7402439,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
