source_id,parallax (mas),parallax_error (mas),pf (days),pf_error (days),int_average_g (mag),int_average_g_error (mag),absolute magnitude / mag,luminosity/watts
4659206773546900000,0.07,0.09,2.755123136,1.33E-04,17.92,0.01,2.084541357,2.03612E+29
4659218769405940000,0.020300679,0.02,4.938458619,1.44E-04,15.37,0.01,-3.093822205,1.76747E+27
4659220384315190000,9.42E-04,0.02,2.987980603,3.53E-04,15.34,0.00,-9.786501679,3.82886E+24
4659225366477830000,0.011547677,0.03,2.941943582,6.40E-05,15.88,0.01,-3.806164815,9.19978E+26
4659234368728480000,0.01,0.02,5.38,1.18E-04,15.21,0.00,-4.873498087,3.45847E+26
4659241339466930000,0.111370202,0.04,2.655458959,5.42E-05,15.98,0.01,1.211471032,9.14627E+28
4659249246494770000,0.05,0.02,5.506209729,0.00,15.09,0.01,-1.293941417,9.20166E+27
4659252373231010000,0.00,0.03,3.647789717,2.95E-04,15.34,0.02,-7.285229664,3.7914E+25
4249529466887850000,0.10,0.03,1.352832143,3.05E-05,15.39,0.00,0.307675,3.99441E+28
2021445908555850000,0.08,0.08,2.98594521,4.61E-05,17.38,0.00,1.868338414,1.67007E+29
2021462302494350000,0.108310747,0.04,4.561375303,9.32E-05,16.18,0.00,1.358227755,1.04632E+29
2021476836664510000,0.042515829,0.02,7.467118747,1.21E-04,14.44,6.09E-04,-2.414158733,3.29549E+27
5436296928693970000,0.29453646,0.01,5.898398693,1.35E-04,9.12,0.00,-3.530160687,1.18482E+27
5355883832259600000,0.06,0.10,5.825610072,0.00,18.08,0.01,2.088532946,2.04358E+29
5865424046292740000,0.243862602,0.15,11.58072103,0.00,17.89,0.01,4.830013021,2.52201E+30
5865522697414190000,0.201747976,0.08,12.27316147,0.00,16.85,0.00,3.378177935,6.66479E+29
5865640276444480000,0.140419196,0.06,6.831596759,4.06E-04,16.67,0.00,2.408757405,2.74076E+29
4318133323133640000,0.07,0.04,7.283690895,0.00,15.81,0.00,-0.072951862,2.81792E+28
5880892152015190000,0.149000691,0.05,7.363563155,0.00,16.10,0.02,1.962527408,1.82067E+29
6060173364074370000,1.32451865,0.02,4.689797153,6.36E-05,6.37,0.00,-3.015539311,1.89896E+27
4071671469593230000,0.09,0.03,2.412004385,7.66E-05,15.42,0.02,0.174484284,3.53534E+28
2177659955093540000,0.08,0.02,3.240552225,1.31E-04,14.70,0.00,-0.758259363,1.50354E+28
2177714415280650000,0.103089585,0.02,6.715363828,2.30E-04,12.84,0.00,-2.095539042,4.41325E+27
2177814470836630000,0.10,0.01,13.43423206,8.17E-04,13.82,0.00,-1.230823089,9.74974E+27
3351921532976860000,0.245741249,0.02,4.978351712,7.08E-04,11.76,0.00,-1.291502693,9.22225E+27
246160037616115000,0.00,0.26,5.249139357,0.00,18.47,0.02,-3.087340649,1.77801E+27
246611563239644000,0.284672469,0.02,2.989176006,5.91E-05,11.69,6.84E-04,-1.040610662,1.16069E+28
5827247392007020000,0.055547062,0.02,41.27,0.03,13.19,0.02,-3.084442534,1.78274E+27
4096107909387490000,1.974805818,0.06,5.77,2.65E-04,5.47,0.01,-3.05305961,1.83476E+27
4096140001386430000,0.502855582,0.02,6.568678186,9.27E-04,9.77,0.01,-1.723524622,6.2066E+27
614188402162150000,0.106914979,0.07,2.064068433,1.29E-04,16.43,0.01,1.577899779,1.27972E+29
618248555005833000,0.173081539,0.02,1.321202901,3.22E-05,13.29,0.01,-0.518808264,1.87257E+28
3343252261748840000,0.14583539,0.02,3.149903573,1.08E-04,12.53,0.01,-1.648736368,6.64701E+27
3344297935963510000,0.181135782,0.02,4.909550394,5.89E-04,11.86,0.01,-1.846882753,5.54302E+27
3344381567567270000,0.290341747,0.03,3.563221949,2.75E-04,12.89,0.01,0.200146428,3.61948E+28
5520277936069180000,0.111560015,0.03,2.652035598,4.17E-05,15.70,0.00,0.938429822,7.12113E+28
5520440663787730000,0.04,0.03,2.551587691,2.21E-04,15.83,0.01,-1.283152828,9.29311E+27
5520505328816730000,0.06,0.01,3.283530909,9.30E-05,13.44,0.00,-2.519886447,2.9911E+27
5520506531407530000,0.042144953,0.01,2.773085752,3.02E-05,14.00,0.00,-2.874540138,2.16096E+27
5520879231487490000,0.06,0.02,4.120701758,7.65E-05,13.98,0.00,-2.094299865,4.41827E+27
