# %ECSV 1.0
# ---
# delimiter: ','
# meta: !!omap
# - RELEASE: Gaia DR3
# - TABLE: vari_cepheid
# - DESCRIPTION: >
#     This table describes the Cepheid stars.
# - CITATION: >
#     How to cite and acknowledge Gaia: 
#     https://gea.esac.esa.int/archive/documentation/credits.html 
# - KNOWN_ISSUES: >
#     Known issues: 
#     https://www.cosmos.esa.int/web/gaia-users/known-issues 
# - DOCUMENTATION: >
#     Tutorials and documentation: 
#     https://www.cosmos.esa.int/web/gaia-users/archive 
# datatype:
# - 
#   name: solution_id
#   datatype: int64
#   description: Solution Identifier
#   meta:
#     ucd: meta.version
# - 
#   name: source_id
#   datatype: int64
#   description: Unique source identifier
#   meta:
#     ucd: meta.id;meta.main
# - 
#   name: pf
#   datatype: float64
#   unit: d
#   description: Period corresponding to the fundamental pulsation mode in the G band time series
#   meta:
#     ucd: src.var;time.period
# - 
#   name: pf_error
#   datatype: float32
#   unit: d
#   description: "Uncertainty of the \\texttt{pf} period"
#   meta:
#     ucd: stat.error;time.period
# - 
#   name: p1_o
#   datatype: float64
#   unit: d
#   description: Period corresponding to the first overtone pulsation mode in the G band time series
#   meta:
#     ucd: src.var;time.period
# - 
#   name: p1_o_error
#   datatype: float32
#   unit: d
#   description: "Uncertainty of the \\texttt{p1O} period"
#   meta:
#     ucd: stat.error;time.period
# - 
#   name: epoch_g
#   datatype: float64
#   unit: d
#   description: Epoch of the maximum of the light curve in the G band
#   meta:
#     ucd: time.epoch;stat.max
# - 
#   name: epoch_g_error
#   datatype: float32
#   unit: d
#   description: "Uncertainty on the epoch parameter \\texttt{epochG}"
#   meta:
#     ucd: stat.error;time.epoch
# - 
#   name: epoch_bp
#   datatype: float64
#   unit: d
#   description: Epoch of the maximum of the light curve in the BP band
#   meta:
#     ucd: time.epoch;stat.max
# - 
#   name: epoch_bp_error
#   datatype: float32
#   unit: d
#   description: "Uncertainty on the epoch parameter \\texttt{epochBp}"
#   meta:
#     ucd: stat.error;time.epoch
# - 
#   name: epoch_rp
#   datatype: float64
#   unit: d
#   description: Epoch of the maximum of the light curve in the RP band
#   meta:
#     ucd: time.epoch;stat.max
# - 
#   name: epoch_rp_error
#   datatype: float32
#   unit: d
#   description: "Uncertainty on the epoch parameter \\texttt{epochRp}"
#   meta:
#     ucd: stat.error;time.epoch
# - 
#   name: epoch_rv
#   datatype: float64
#   unit: d
#   description: Epoch of the minimum of the radial velocity curve
#   meta:
#     ucd: time.epoch;stat.max
# - 
#   name: epoch_rv_error
#   datatype: float32
#   unit: d
#   description: "Uncertainty on the epoch parameter \\texttt{epochRv}"
#   meta:
#     ucd: stat.error;time.epoch
# - 
#   name: int_average_g
#   datatype: float32
#   unit: mag
#   description: Intensity-averaged magnitude in the G band
#   meta:
#     ucd: phot.mag;em.opt
# - 
#   name: int_average_g_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty on \\texttt{intAverageG} parameter"
#   meta:
#     ucd: stat.error;phot.mag;em.opt
# - 
#   name: int_average_bp
#   datatype: float32
#   unit: mag
#   description: Intensity-averaged magnitude in the BP band
#   meta:
#     ucd: stat.error;phot.mag
# - 
#   name: int_average_bp_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty on \\texttt{intAverageBp} parameter"
#   meta:
#     ucd: stat.error;phot.mag
# - 
#   name: int_average_rp
#   datatype: float32
#   unit: mag
#   description: Intensity-averaged magnitude in the RP band
#   meta:
#     ucd: stat.error;phot.mag
# - 
#   name: int_average_rp_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty on \\texttt{intAverageRp} parameter"
#   meta:
#     ucd: stat.error;phot.mag
# - 
#   name: average_rv
#   datatype: float32
#   unit: km.s**-1
#   description: Mean radial velocity
#   meta:
#     ucd: spect.dopplerVeloc;stat.mean
# - 
#   name: average_rv_error
#   datatype: float32
#   unit: km.s**-1
#   description: "Uncertainty on \\texttt{averageRv} parameter"
#   meta:
#     ucd: stat.error;spect.dopplerVeloc;stat.mean
# - 
#   name: peak_to_peak_g
#   datatype: float32
#   unit: mag
#   description: Peak-to-peak amplitude of the G band light curve
#   meta:
#     ucd: src.var.amplitude;em.opt
# - 
#   name: peak_to_peak_g_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty on the \\texttt{peakToPeakG} parameter"
#   meta:
#     ucd: stat.error;src.var.amplitude;em.opt
# - 
#   name: peak_to_peak_bp
#   datatype: float32
#   unit: mag
#   description: Peak-to-peak amplitude of the BP band light curve
#   meta:
#     ucd: src.var.amplitude
# - 
#   name: peak_to_peak_bp_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty on the \\texttt{peakToPeakBp} parameter"
#   meta:
#     ucd: stat.error;src.var.amplitude
# - 
#   name: peak_to_peak_rp
#   datatype: float32
#   unit: mag
#   description: Peak-to-peak amplitude of the RP band light curve
#   meta:
#     ucd: src.var.amplitude
# - 
#   name: peak_to_peak_rp_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty on the \\texttt{peakToPeakRp} parameter"
#   meta:
#     ucd: stat.error;src.var.amplitude
# - 
#   name: peak_to_peak_rv
#   datatype: float64
#   unit: km.s**-1
#   description: Peak-to-peak amplitude of the radial velocity curve
#   meta:
#     ucd: spect.dopplerVeloc;stat.param
# - 
#   name: peak_to_peak_rv_error
#   datatype: float64
#   unit: km.s**-1
#   description: "Uncertainty on the \\texttt{peakToPeakRv} parameter"
#   meta:
#     ucd: stat.error
# - 
#   name: metallicity
#   datatype: float32
#   unit: "'dex'"
#   description: Metallicity of the star from the Fourier parameters of the light curve
#   meta:
#     ucd: phys.abund.Z
# - 
#   name: metallicity_error
#   datatype: float32
#   unit: "'dex'"
#   description: "Uncertainty of the \\texttt{metallicity} parameter"
#   meta:
#     ucd: stat.error;phys.abund.Z
# - 
#   name: r21_g
#   datatype: float32
#   description: "Fourier decomposition parameter \\texttt{r21G}: A2/A1 (for G band)"
#   meta:
#     ucd: stat.Fourier
# - 
#   name: r21_g_error
#   datatype: float32
#   description: "Uncertainty on the \\texttt{r21G} parameter: A2/A1 (for G band)"
#   meta:
#     ucd: stat.error
# - 
#   name: r31_g
#   datatype: float32
#   description: "Fourier decomposition parameter \\texttt{r31G}: A3/A1 (for G band)"
#   meta:
#     ucd: stat.Fourier
# - 
#   name: r31_g_error
#   datatype: float32
#   description: "Uncertainty on the \\texttt{r31G} parameter: A3/A1 (for G band)"
#   meta:
#     ucd: stat.error
# - 
#   name: phi21_g
#   datatype: float32
#   unit: rad
#   description: "Fourier decomposition parameter \\texttt{phi21G}: phi2 - 2*phi1 (for G band)"
#   meta:
#     ucd: stat.Fourier
# - 
#   name: phi21_g_error
#   datatype: float32
#   unit: rad
#   description: "Uncertainty on the \\texttt{phi21G} parameter: phi2 - 2*phi1 (for G band)"
#   meta:
#     ucd: stat.error
# - 
#   name: phi31_g
#   datatype: float32
#   unit: rad
#   description: "Fourier decomposition parameter \\texttt{phi31G}: phi3 - 3*phi1 (for G band)"
#   meta:
#     ucd: stat.Fourier
# - 
#   name: phi31_g_error
#   datatype: float32
#   unit: rad
#   description: "Uncertainty on the \\texttt{phi31G} parameter: phi3 - 3*phi1 (for G band)"
#   meta:
#     ucd: stat.error
# - 
#   name: num_clean_epochs_g
#   datatype: int16
#   description: Number of G FoV epochs used in the fitting algorithm
#   meta:
#     ucd: meta.number
# - 
#   name: num_clean_epochs_bp
#   datatype: int16
#   description: Number of BP epochs used in the fitting algorithm
#   meta:
#     ucd: meta.number
# - 
#   name: num_clean_epochs_rp
#   datatype: int16
#   description: Number of RP epochs used in the fitting algorithm
#   meta:
#     ucd: meta.number
# - 
#   name: num_clean_epochs_rv
#   datatype: int16
#   description: Number of radial velocity epochs used in the fitting algorithm
#   meta:
#     ucd: meta.number
# - 
#   name: zp_mag_g
#   datatype: float32
#   unit: mag
#   description: Zero point (mag) of the final model of the G band light curve
#   meta:
#     ucd: phot.calib;em.opt
# - 
#   name: zp_mag_bp
#   datatype: float32
#   unit: mag
#   description: Zero point (mag) of the final model of the BP band light curve
#   meta:
#     ucd: phot.calib;em.opt.B
# - 
#   name: zp_mag_rp
#   datatype: float32
#   unit: mag
#   description: Zero point (mag) of the final model of the RP band light curve
#   meta:
#     ucd: phot.calib;em.opt.R
# - 
#   name: num_harmonics_for_p1_g
#   datatype: int8
#   description: Number of harmonics used to model the first periodicity of the G-band light curve
#   meta:
#     ucd: meta.number
# - 
#   name: num_harmonics_for_p1_bp
#   datatype: int8
#   description: Number of harmonics used to model the first periodicity of the BP-band light curve
#   meta:
#     ucd: meta.number
# - 
#   name: num_harmonics_for_p1_rp
#   datatype: int8
#   description: Number of harmonics used to model the first periodicity of the RP-band light curve
#   meta:
#     ucd: meta.number
# - 
#   name: num_harmonics_for_p1_rv
#   datatype: int8
#   description: Number of harmonics used to model the first periodicity of the radial velocity curve
#   meta:
#     ucd: meta.number
# - 
#   name: reference_time_g
#   datatype: float64
#   unit: d
#   description: Reference time of the Fourier modelled G-band light curve
#   meta:
#     ucd: time.epoch
# - 
#   name: reference_time_bp
#   datatype: float64
#   unit: d
#   description: Reference time of the Fourier modelled BP-band light curve
#   meta:
#     ucd: time.epoch
# - 
#   name: reference_time_rp
#   datatype: float64
#   unit: d
#   description: Reference time of the Fourier modelled RP-band light curve
#   meta:
